STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20253,11215850,구의1동,CS300031,가구,81160047.0,293.0,72751574.0,8408473.0,7951491.0,26504971.0,28881278.0,4935408.0,4478426.0,5483787.0,2924686.0,0.0,6397751.0,5392391.0,51730391.0,17639514.0,0.0,28241502.0,23031905.0,0.0,13709467.0,0.0,4021444.0,12155727.0,21386768.0,257.0,36.0,55.0,74.0,54.0,36.0,38.0,18.0,18.0,0.0,19.0,55.0,165.0,54.0,0.0,92.0,109.0,0.0,18.0,0.0,18.0,73.0,92.0
20253,11215850,구의1동,CS300033,철물점,3755262142.0,22278.0,3253146512.0,502115630.0,353932498.0,1129330094.0,715420360.0,460881772.0,593581788.0,498948991.0,3166639.0,0.0,1056176094.0,1182546555.0,1347580347.0,168959146.0,0.0,1663551438.0,1875409108.0,0.0,30932883.0,377807830.0,390243247.0,1139396200.0,1600580385.0,18949.0,3329.0,3304.0,4360.0,3540.0,3747.0,3998.0,3038.0,291.0,0.0,6635.0,6891.0,7112.0,1640.0,0.0,11323.0,9560.0,0.0,758.0,3088.0,3909.0,5095.0,8034.0
20253,11215850,구의1동,CS300035,인테리어,327432.0,9.0,327432.0,0.0,9095.0,0.0,0.0,318337.0,0.0,0.0,0.0,0.0,9095.0,0.0,318337.0,0.0,0.0,9095.0,318337.0,0.0,318337.0,0.0,0.0,0.0,9095.0,9.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0
20253,11215850,구의1동,CS300036,조명용품,5789027315.0,76390.0,5134003408.0,655023907.0,1489060463.0,803007671.0,1067999363.0,1132020912.0,641914999.0,542862735.0,112161172.0,0.0,1562447584.0,1529885100.0,1284333483.0,1412361148.0,0.0,3384507686.0,376007969.0,0.0,60614834.0,586867423.0,1420164185.0,441136797.0,1251732415.0,67130.0,9260.0,19674.0,14275.0,10225.0,11188.0,11768.0,6366.0,2894.0,0.0,25271.0,21798.0,18326.0,10995.0,0.0,48805.0,14660.0,0.0,1930.0,8681.0,11381.0,11960.0,29514.0
20253,11215860,구의2동,CS100001,한식음식점,7273420725.0,208960.0,4668221432.0,2605199293.0,853965270.0,947416658.0,867390935.0,923599592.0,1075848977.0,1500097345.0,1105101948.0,113168442.0,193890034.0,2001416618.0,940111393.0,3117554521.0,907279717.0,4015411916.0,2516223520.0,15203630.0,499803936.0,1240289420.0,1353245026.0,1527262516.0,1895830901.0,142598.0,66362.0,26947.0,30227.0,27332.0,27954.0,30138.0,35712.0,30650.0,1664.0,8901.0,74414.0,31347.0,76862.0,15772.0,119212.0,78589.0,907.0,16100.0,36621.0,40891.0,47301.0,55992.0
20253,11215860,구의2동,CS100002,중식음식점,160127464.0,4273.0,113940129.0,46187335.0,25160909.0,9559734.0,19652883.0,20662209.0,38904394.0,27783158.0,18404177.0,3774189.0,0.0,30575416.0,15353191.0,78842711.0,31581957.0,84149896.0,58157479.0,664546.0,11358776.0,39120930.0,41144722.0,25768056.0,24250346.0,2980.0,1293.0,720.0,254.0,495.0,623.0,888.0,754.0,539.0,28.0,0.0,1305.0,617.0,1879.0,444.0,2459.0,1484.0,21.0,389.0,738.0,1093.0,763.0,938.0
20253,11215860,구의2동,CS100003,일식음식점,117739314.0,3233.0,72862729.0,44876585.0,12225803.0,15051057.0,14482612.0,15852819.0,15250438.0,22427263.0,22449322.0,26156939.0,0.0,21001909.0,1858050.0,42374582.0,26347834.0,72297938.0,42654300.0,794738.0,20234465.0,26670923.0,28433548.0,22407842.0,16410723.0,2088.0,1145.0,296.0,492.0,451.0,425.0,424.0,560.0,585.0,450.0,0.0,797.0,58.0,1428.0,500.0,1899.0,1275.0,50.0,600.0,642.0,821.0,651.0,410.0
20253,11215860,구의2동,CS100005,제과점,249944528.0,25771.0,176207734.0,73736794.0,33087211.0,42925752.0,30301149.0,34857336.0,35036286.0,38946892.0,34789902.0,0.0,56935475.0,47421403.0,44698157.0,77002485.0,23887008.0,101195159.0,144501622.0,997155.0,17613379.0,42482658.0,52135294.0,53512863.0,78955431.0,18127.0,7644.0,3545.0,4255.0,3084.0,3610.0,3633.0,3862.0,3782.0,0.0,6265.0,4501.0,4263.0,7947.0,2795.0,10118.0,15449.0,170.0,2141.0,4617.0,5198.0,5482.0,7958.0
20253,11215860,구의2동,CS100006,패스트푸드점,38128910.0,2179.0,22012049.0,16116861.0,3855417.0,552364.0,5714445.0,5876474.0,6013349.0,8235137.0,7881724.0,0.0,93036.0,6490276.0,6473308.0,21419681.0,3652609.0,20274218.0,17854692.0,489373.0,4905130.0,8966253.0,8614515.0,9931712.0,5221927.0,1320.0,859.0,226.0,6.0,366.0,357.0,365.0,417.0,442.0,0.0,6.0,339.0,345.0,1267.0,222.0,1211.0,968.0,30.0,315.0,506.0,512.0,496.0,320.0
20253,11215860,구의2동,CS100007,치킨전문점,506257740.0,22057.0,321648204.0,184609536.0,50349814.0,60454732.0,66549281.0,68908847.0,75385530.0,95617294.0,88992242.0,52328870.0,13593890.0,16361069.0,50183844.0,231263410.0,142526657.0,323779635.0,177701405.0,1398970.0,42789866.0,107813173.0,91184069.0,136845922.0,121449041.0,14344.0,7713.0,2161.0,2668.0,3028.0,2954.0,3533.0,3923.0,3790.0,1886.0,555.0,953.0,2241.0,10646.0,5776.0,14184.0,7803.0,40.0,1761.0,4545.0,4049.0,6042.0,5551.0
